[DEBUG] Creating: RunService | Parent: Has Parent
[DEBUG] Creating: Selection | Parent: Has Parent
[DEBUG] Creating: Workspace | Parent: Has Parent
[DEBUG] Creating: Camera | Parent: Has Parent
[DEBUG] Creating: Part | Parent: Has Parent
[DEBUG] Creating: Camera | Parent: Has Parent
[DEBUG] Creating: Part | Parent: Has Parent
[DEBUG] Creating: Model | Parent: Has Parent
[DEBUG] Creating: Part | Parent: Has Parent
[DEBUG] Creating: Part | Parent: Has Parent
[DEBUG] Creating: Part | Parent: Has Parent
[DEBUG] Creating: Part | Parent: Has Parent
[DEBUG] Creating: Model | Parent: Has Parent
